dbo;AWBuildVersion;SystemInformationID
dbo;DatabaseLog;DatabaseLogID
dbo;ErrorLog;ErrorLogID
HumanResources;Department;DepartmentID
HumanResources;Employee;BusinessEntityID
HumanResources;EmployeeDepartmentHistory;BusinessEntityID
HumanResources;EmployeeDepartmentHistory;DepartmentID
HumanResources;EmployeeDepartmentHistory;ShiftID
HumanResources;EmployeeDepartmentHistory;StartDate
HumanResources;EmployeePayHistory;BusinessEntityID
HumanResources;EmployeePayHistory;RateChangeDate
HumanResources;JobCandidate;JobCandidateID
HumanResources;Shift;ShiftID
Person;Address;AddressID
Person;AddressType;AddressTypeID
Person;BusinessEntity;BusinessEntityID
Person;BusinessEntityAddress;AddressID
Person;BusinessEntityAddress;AddressTypeID
Person;BusinessEntityAddress;BusinessEntityID
Person;BusinessEntityContact;BusinessEntityID
Person;BusinessEntityContact;ContactTypeID
Person;BusinessEntityContact;PersonID
Person;ContactType;ContactTypeID
Person;CountryRegion;CountryRegionCode
Person;EmailAddress;BusinessEntityID
Person;EmailAddress;EmailAddressID
Person;Password;BusinessEntityID
Person;Person;BusinessEntityID
Person;PersonPhone;BusinessEntityID
Person;PersonPhone;PhoneNumber
Person;PersonPhone;PhoneNumberTypeID
Person;PhoneNumberType;PhoneNumberTypeID
Person;StateProvince;StateProvinceID
Production;BillOfMaterials;BillOfMaterialsID
Production;Culture;CultureID
Production;Document;DocumentNode
Production;Illustration;IllustrationID
Production;Location;LocationID
Production;Product;ProductID
Production;ProductCategory;ProductCategoryID
Production;ProductCostHistory;ProductID
Production;ProductCostHistory;StartDate
Production;ProductDescription;ProductDescriptionID
Production;ProductDocument;DocumentNode
Production;ProductDocument;ProductID
Production;ProductInventory;LocationID
Production;ProductInventory;ProductID
Production;ProductListPriceHistory;ProductID
Production;ProductListPriceHistory;StartDate
Production;ProductModel;ProductModelID
Production;ProductModelIllustration;IllustrationID
Production;ProductModelIllustration;ProductModelID
Production;ProductModelProductDescriptionCulture;CultureID
Production;ProductModelProductDescriptionCulture;ProductDescriptionID
Production;ProductModelProductDescriptionCulture;ProductModelID
Production;ProductPhoto;ProductPhotoID
Production;ProductProductPhoto;ProductID
Production;ProductProductPhoto;ProductPhotoID
Production;ProductReview;ProductReviewID
Production;ProductSubcategory;ProductSubcategoryID
Production;ScrapReason;ScrapReasonID
Production;TransactionHistory;TransactionID
Production;TransactionHistoryArchive;TransactionID
Production;UnitMeasure;UnitMeasureCode
Production;WorkOrder;WorkOrderID
Production;WorkOrderRouting;OperationSequence
Production;WorkOrderRouting;ProductID
Production;WorkOrderRouting;WorkOrderID
Purchasing;ProductVendor;BusinessEntityID
Purchasing;ProductVendor;ProductID
Purchasing;PurchaseOrderDetail;PurchaseOrderDetailID
Purchasing;PurchaseOrderDetail;PurchaseOrderID
Purchasing;PurchaseOrderHeader;PurchaseOrderID
Purchasing;ShipMethod;ShipMethodID
Purchasing;Vendor;BusinessEntityID
Sales;CountryRegionCurrency;CountryRegionCode
Sales;CountryRegionCurrency;CurrencyCode
Sales;CreditCard;CreditCardID
Sales;Currency;CurrencyCode
Sales;CurrencyRate;CurrencyRateID
Sales;Customer;CustomerID
Sales;PersonCreditCard;BusinessEntityID
Sales;PersonCreditCard;CreditCardID
Sales;SalesOrderDetail;SalesOrderDetailID
Sales;SalesOrderDetail;SalesOrderID
Sales;SalesOrderHeader;SalesOrderID
Sales;SalesOrderHeaderSalesReason;SalesOrderID
Sales;SalesOrderHeaderSalesReason;SalesReasonID
Sales;SalesPerson;BusinessEntityID
Sales;SalesPersonQuotaHistory;BusinessEntityID
Sales;SalesPersonQuotaHistory;QuotaDate
Sales;SalesReason;SalesReasonID
Sales;SalesTaxRate;SalesTaxRateID
Sales;SalesTerritory;TerritoryID
Sales;SalesTerritoryHistory;BusinessEntityID
Sales;SalesTerritoryHistory;StartDate
Sales;SalesTerritoryHistory;TerritoryID
Sales;ShoppingCartItem;ShoppingCartItemID
Sales;SpecialOffer;SpecialOfferID
Sales;SpecialOfferProduct;ProductID
Sales;SpecialOfferProduct;SpecialOfferID
Sales;Store;BusinessEntityID
